,Player,Season,Competition,Matchday,Date,Venue,Club,Opponent,Result,Playing_Position,Minute,At_score,Type,Goal_assist,Overtime,FTR,Situation,Min,Period,Quarter,Year
873,CR7,15/16,UEFA Champions League,Group Stage,08-12-2015,H,Real Madrid,MalmÃ¶ FF,8-0,LW,47,4-0,Tap-in,,0,H,Ampliar,47,2nd,Q1 2nd,16
874,CR7,15/16,UEFA Champions League,Group Stage,08-12-2015,H,Real Madrid,MalmÃ¶ FF,8-0,LW,59,6-0,Right-footed shot,Isco,0,H,Ampliar,59,2nd,Q1 2nd,16
875,CR7,15/16,UEFA Champions League,Group Stage,08-12-2015,H,Real Madrid,MalmÃ¶ FF,8-0,LW,50,5-0,Right-footed shot,Danilo,0,H,Ampliar,50,2nd,Q1 2nd,16
876,CR7,15/16,UEFA Champions League,Group Stage,08-12-2015,H,Real Madrid,MalmÃ¶ FF,8-0,LW,39,3-0,Direct free kick,,0,H,Ampliar,39,1st,Q3 1st,16
877,Messi,15/16,UEFA Champions League,Group Stage,09-12-2015,A,FC Barcelona,Bayer 04 Leverkusen,1-1,CF,20,0-1,Right-footed shot,Ivan Rakitic,0,D,Adelantar,20,1st,Q2 1st,16
878,Messi,15/16,LaLiga,15,12-12-2015,H,FC Barcelona,Deportivo de La Coruaa,2-2,RW,39,1-0,Direct free kick,,0,D,Adelantar,39,1st,Q3 1st,16
879,CR7,15/16,LaLiga,16,20-12-2015,H,Real Madrid,Rayo Vallecano,10-2,LW,54,6-2,Header,James Rodriguez,0,H,Ampliar,54,2nd,Q1 2nd,16
880,CR7,15/16,LaLiga,16,20-12-2015,H,Real Madrid,Rayo Vallecano,10-2,LW,30,3-2,Penalty,,0,H,Adelantar,30,1st,Q2 1st,16
881,Messi,15/16,FIFA Club World Cup,Final,20-12-2015,A,FC Barcelona,CA River Plate,0-3,RW,36,0-1,Left-footed shot,Neymar,0,A,Adelantar,36,1st,Q3 1st,16
882,CR7,15/16,LaLiga,17,30-12-2015,H,Real Madrid,Real Sociedad,3-1,LW,68,2-1,Left-footed shot,Marcelo,0,H,Adelantar,68,2nd,Q2 2nd,16
883,CR7,15/16,LaLiga,17,30-12-2015,H,Real Madrid,Real Sociedad,3-1,LW,42,1-0,Penalty,,0,H,Adelantar,42,1st,Q3 1st,16
884,Messi,15/16,LaLiga,17,30-12-2015,H,FC Barcelona,Real Betis Balompie,4-0,RW,33,2-0,Right-footed shot,Neymar,0,H,Ampliar,33,1st,Q3 1st,16
885,Messi,15/16,Copa del Rey,Round of 16,06-01-2016,H,FC Barcelona,RCD Espanyol Barcelona,4-1,RW,44,2-1,Direct free kick,,0,H,Adelantar,44,1st,Q3 1st,16
886,Messi,15/16,Copa del Rey,Round of 16,06-01-2016,H,FC Barcelona,RCD Espanyol Barcelona,4-1,RW,13,1-1,Left-footed shot,Andres Iniesta,0,H,Empatar,13,1st,Q1 1st,16
887,Messi,15/16,LaLiga,19,09-01-2016,H,FC Barcelona,Granada CF,4-0,RW,58,3-0,Tap-in,,0,H,Ampliar,58,2nd,Q1 2nd,16
888,Messi,15/16,LaLiga,19,09-01-2016,H,FC Barcelona,Granada CF,4-0,RW,14,2-0,Left-footed shot,Luis Suarez,0,H,Ampliar,14,1st,Q1 1st,16
889,Messi,15/16,LaLiga,19,09-01-2016,H,FC Barcelona,Granada CF,4-0,RW,8,1-0,Left-footed shot,Arda Turan,0,H,Adelantar,8,1st,Q1 1st,16
890,Messi,15/16,LaLiga,20,17-01-2016,H,FC Barcelona,Athletic Bilbao,6-0,RW,7,1-0,Penalty,,0,H,Adelantar,7,1st,Q1 1st,16
891,CR7,15/16,LaLiga,20,17-01-2016,H,Real Madrid,Sporting GijÃ³n,5-1,LW,9,2-0,Left-footed shot,Karim Benzema,0,H,Ampliar,9,1st,Q1 1st,16
892,CR7,15/16,LaLiga,20,17-01-2016,H,Real Madrid,Sporting GijÃ³n,5-1,LW,18,4-0,Left-footed shot,Daniel Carvajal,0,H,Ampliar,18,1st,Q2 1st,16
893,Messi,15/16,LaLiga,21,23-01-2016,A,FC Barcelona,Malaga CF,1-2,RW,51,1-2,Left-footed shot,Adriano,0,A,Adelantar,51,2nd,Q1 2nd,16
894,Messi,15/16,LaLiga,22,30-01-2016,H,FC Barcelona,Atletico de Madrid,2-1,RW,30,1-1,Left-footed shot,Jordi Alba,0,H,Empatar,30,1st,Q2 1st,16
895,CR7,15/16,LaLiga,22,31-01-2016,H,Real Madrid,RCD Espanyol Barcelona,6-0,LW,82,5-0,Header,Jese,0,H,Ampliar,82,2nd,Q3 2nd,16
896,CR7,15/16,LaLiga,22,31-01-2016,H,Real Madrid,RCD Espanyol Barcelona,6-0,LW,45,4-0,Left-footed shot,,0,H,Ampliar,45,1st,Q3 1st,16
897,CR7,15/16,LaLiga,22,31-01-2016,H,Real Madrid,RCD Espanyol Barcelona,6-0,LW,12,2-0,Penalty,,0,H,Ampliar,12,1st,Q1 1st,16
898,Messi,15/16,Copa del Rey,Semi-Finals,03-02-2016,H,FC Barcelona,Valencia CF,7-0,RW,59,4-0,Left-footed shot,Luis Suarez,0,H,Ampliar,59,2nd,Q1 2nd,16
899,Messi,15/16,Copa del Rey,Semi-Finals,03-02-2016,H,FC Barcelona,Valencia CF,7-0,RW,74,5-0,Left-footed shot,,0,H,Ampliar,74,2nd,Q2 2nd,16
900,Messi,15/16,Copa del Rey,Semi-Finals,03-02-2016,H,FC Barcelona,Valencia CF,7-0,RW,29,3-0,Left-footed shot,Neymar,0,H,Ampliar,29,1st,Q2 1st,16
901,CR7,15/16,LaLiga,24,13-02-2016,H,Real Madrid,Athletic Bilbao,4-2,LW,3,1-0,Right-footed shot,Karim Benzema,0,H,Adelantar,3,1st,Q1 1st,16
902,CR7,15/16,LaLiga,24,13-02-2016,H,Real Madrid,Athletic Bilbao,4-2,LW,87,4-1,Right-footed shot,Lucas Vazquez,0,H,Ampliar,87,2nd,Q3 2nd,16
